UF,Cidade,Codigo,TotalEleitores,TotalComparecimento
"BA","BOA NOVA",33731,12609,10087.2
"BA","BOA VISTA DO TUPIM",33758,13887,11109.6
"BA","BOM JESUS DA LAPA",33774,46770,37416.0
"BA","BOM JESUS DA SERRA",33782,9143,7314.4
"BA","BONINAL",33790,10539,8431.2
"BA","BONITO",33804,11884,9507.2
"BA","BOQUIRA",33812,16357,13085.6
"BA","BOTUPORÃ",33839,9411,7528.8
"BA","BREJÕES",33855,10388,8310.4
"BA","BREJOLÂNDIA",33871,8218,6574.4
"BA","BROTAS DE MACAÚBAS",33898,8725,6980.0
"BA","BRUMADO",33910,51858,41486.4
"BA","BUERAREMA",33936,13367,10693.6
"BA","BURITIRAMA",30791,15288,12230.4
"BA","CAATIBA",33952,5522,4417.6
"BA","CABACEIRAS DO PARAGUAÇU",33960,14063,11250.4
"BA","CACHOEIRA",33979,24775,19820.0
"BA","CACULÉ",33995,17263,13810.4
"BA","CAEM",34010,8164,6531.2
"BA","CAETANOS",34029,10553,8442.4
"BA","CAETITÉ",34037,40914,32731.2
"BA","CAFARNAUM",34053,13868,11094.4
"BA","CAIRU",34070,15192,12153.6
"BA","CALDEIRÃO GRANDE",34096,10318,8254.4
"BA","CAMACÃ",34118,17009,13607.2
"BA","CAMAÇARI",34134,201224,160979.2
"BA","CAMAMU",34150,23876,19100.8
"BA","CAMPO ALEGRE DE LOURDES",34177,22257,17805.6
"BA","CAMPO FORMOSO",34193,55686,44548.8
"BA","CANÁPOLIS",34215,8589,6871.2
"BA","CANARANA",34231,19572,15657.6
"BA","CANAVIEIRAS",34258,25533,20426.4
"BA","CANDEAL",34274,7418,5934.4
"BA","CANDEIAS",34290,64011,51208.8
"BA","CANDIBA",34312,11249,8999.2
"BA","CÂNDIDO SALES",34339,20488,16390.4
"BA","CANSANÇÃO",34355,27710,22168.0
"BA","CANUDOS",30856,12378,9902.4
"BA","CAPELA DO ALTO ALEGRE",30813,9427,7541.6
"BA","CAPIM GROSSO",30830,23273,18618.4
"BA","CARAÍBAS",34363,8217,6573.6
"BA","CARAVELAS",34371,15841,12672.8
"BA","CARDEAL DA SILVA",34398,7702,6161.6
"BA","CARINHANHA",34410,21495,17196.0
"BA","CASA NOVA",34436,55138,44110.4
"BA","CASTRO ALVES",34452,22004,17603.2
"BA","CATOLÂNDIA",34479,4138,3310.4
"BA","CATU",34495,40419,32335.2
"BA","CATURAMA",34509,7204,5763.2
"BA","CENTRAL",34517,13184,10547.2
"BA","CHORROCHÓ",34533,8683,6946.4
"BA","CÍCERO DANTAS",34550,25480,20384.0
"BA","CIPÓ",34576,14000,11200.0
"BA","COARACI",34592,15338,12270.4
"BA","COCOS",34614,16076,12860.8
"BA","CONCEIÇÃO DA FEIRA",34630,17109,13687.2
"BA","CONCEIÇÃO DO ALMEIDA",34657,14002,11201.6
"BA","CONCEIÇÃO DO COITÉ",34673,52395,41916.0
"BA","CONCEIÇÃO DO JACUÍPE",34690,27352,21881.6
"BA","CONDE",34711,18047,14437.6
"BA","CONDEÚBA",34738,14938,11950.4
"BA","CONTENDAS DO SINCORÁ",34754,4230,3384.0
"BA","CORAÇÃO DE MARIA",34770,21353,17082.4
"BA","CORDEIROS",34797,7060,5648.0
"BA","CORIBE",34819,12638,10110.4
"BA","CORONEL JOÃO SÁ",34835,14592,11673.6
"BA","CORRENTINA",34851,26980,21584.0
"BA","COTEGIPE",34878,11320,9056.0
"BA","CRAVOLÂNDIA",34894,4144,3315.2
"BA","CRISÓPOLIS",34916,16178,12942.4
"BA","CRISTÓPOLIS",34932,11986,9588.8
"BA","CRUZ DAS ALMAS",34959,48256,38604.8
"BA","CURAÇÁ",34975,25900,20720.0
"BA","DÁRIO MEIRA",34991,8290,6632.0
"BA","DIAS D'ÁVILA",30872,51940,41552.0
"BA","DOM BASÍLIO",35017,10305,8244.0
"BA","DOM MACEDO COSTA",35033,4624,3699.2
"BA","ELÍSIO MEDRADO",35050,7365,5892.0
"BA","ENCRUZILHADA",35076,15647,12517.6
"BA","ENTRE RIOS",35092,31132,24905.6
"BA","ÉRICO CARDOSO",33090,8338,6670.4
"BA","ESPLANADA",35114,26109,20887.2
"BA","EUCLIDES DA CUNHA",35130,44224,35379.2
"BA","EUNÁPOLIS",30058,82838,66270.4
"BA","FÁTIMA",30899,14942,11953.6
"BA","FEIRA DA MATA",35149,5032,4025.6
"BA","FEIRA DE SANTANA",35157,426556,341244.8
"BA","FILADÉLFIA",30910,14496,11596.8
"BA","FIRMINO ALVES",35173,5447,4357.6
"BA","FLORESTA AZUL",35190,7679,6143.2
"BA","FORMOSA DO RIO PRETO",35211,19289,15431.2
"BA","GANDU",35238,22956,18364.8
"BA","GAVIÃO",30937,4263,3410.4
"BA","GENTIO DO OURO",35254,9402,7521.6
"BA","GLÓRIA",35270,12738,10190.4
"BA","GONGOGI",35297,5551,4440.8
"BA","GOVERNADOR MANGABEIRA",35319,18516,14812.8
"BA","GUAJERU",30953,6297,5037.6
"BA","GUANAMBI",35335,65464,52371.2
"BA","GUARATINGA",35351,15295,12236.0
"BA","HELIÓPOLIS",30970,12434,9947.2
"BA","IAÇU",35378,19685,15748.0
"BA","IBIASSUCÊ",35394,8139,6511.2
"BA","IBICARAÍ",35416,17805,14244.0
"BA","IBICOARA",35432,14723,11778.4
"BA","IBICUÍ",35459,11354,9083.2
"BA","IBIPEBA",35475,13088,10470.4
"BA","IBIPITANGA",35513,12796,10236.8
"BA","IBIQUERA",35530,4036,3228.8
"BA","IBIRAPITANGA",35556,14584,11667.2
"BA","IBIRAPUÃ",35572,7315,5852.0
"BA","IBIRATAIA",35599,15844,12675.2
"BA","IBITIARA",35610,11920,9536.0
"BA","IBITITÁ",35637,14749,11799.2
"BA","IBOTIRAMA",35653,20733,16586.4
"BA","ICHU",35670,5823,4658.4
"BA","IGAPORÃ",35696,11995,9596.0
"BA","IGRAPIÚNA",35700,8925,7140.0
"BA","IGUAÍ",35718,17635,14108.0
"BA","ILHÉUS",35734,128922,103137.6
"BA","INHAMBUPE",35750,26596,21276.8
"BA","IPECAETÁ",35777,14654,11723.2
"BA","IPIAÚ",35793,32408,25926.4
"BA","IPIRÁ",35815,47579,38063.2
"BA","IPUPIARA",35831,8449,6759.2
"BA","IRAJUBA",35858,5484,4387.2
"BA","IRAMAIA",35874,8385,6708.0
"BA","IRAQUARA",35890,17977,14381.6
"BA","IRARÁ",35912,24512,19609.6
"BA","IRECÊ",35939,49504,39603.2
"BA","ITABELA",35947,21832,17465.6
"BA","ITABERABA",35955,46679,37343.2
"BA","ITABUNA",35971,141478,113182.4
"BA","ITACARÉ",35998,18712,14969.6
"BA","ITAETÉ",36013,11014,8811.2
"BA","ITAGI",36030,10595,8476.0
"BA","ITAGIBÁ",36056,13066,10452.8
"BA","ITAGIMIRIM",36072,6329,5063.2
"BA","ITAGUAÇU DA BAHIA",36080,10204,8163.2
"BA","ITAJU DO COLÔNIA",36099,5852,4681.6
"BA","ITAJUÍPE",36110,15826,12660.8
"BA","ITAMARAJU",36137,44733,35786.4
"BA","ITAMARI",36153,6127,4901.6
"BA","ITAMBÉ",36170,17678,14142.4
"BA","ITANAGRA",36196,6230,4984.0
"BA","ITANHÉM",36218,15031,12024.8
"BA","ITAPARICA",36234,19180,15344.0
"BA","ITAPÉ",36250,8495,6796.0
"BA","ITAPEBI",36277,8204,6563.2
"BA","ITAPETINGA",36293,46864,37491.2
"BA","ITAPICURU",36315,22609,18087.2
"BA","ITAPITANGA",36331,5862,4689.6
"BA","ITAQUARA",36358,6780,5424.0
"BA","ITARANTIM",36374,13683,10946.4
"BA","ITATIM",36382,12118,9694.4
"BA","ITIRUÇU",36390,8926,7140.8
"BA","ITIÚBA",36412,26634,21307.2
"BA","ITORORÓ",36439,15835,12668.0
"BA","ITUAÇU",36455,15116,12092.8
"BA","ITUBERÁ",36471,17621,14096.8
"BA","IUIU",30660,8341,6672.8
"BA","JABORANDI",30678,9687,7749.6
"BA","JACARACI",36498,11376,9100.8
